名稱,經度,緯度
HiLife 竹北北鮮店站,121.009722,24.834422
中油文中北加油站,121.270507,24.991632
中油連城加油站(多站),121.47334,24.990694
愛買三重店站(多站),121.475951,25.071251
新北市光華段機車場站(多站),121.451706,25.011701
7-ELEVEN 寶斗店站,120.527916,23.878494
中油佳昌加油站,120.352475,23.338674
Gogoro 新莊中華服務中心站,121.452218,25.052653
家樂福成功店站(多站),120.30462,22.60549
Gogoro 高雄大昌門市站(多站),120.331798,22.650102
中油桃園中正加油站,121.294021,25.026758
Gogoro 板橋萬板服務中心站,121.470388,25.020968
富山苗栗中山路停車場站(多站),120.82156,24.560594
全聯埔心東明店站,120.562527,23.954691
新北市臺電公司北部展示館站,121.660089,25.206942
中油高雄林森二路加油站,120.306076,22.623418
臺中市文修停車場站(多站),120.642253,24.185249
7-ELEVEN 鼎東店站(多站),120.467012,22.481113
全聯彰化溪州店站,120.493496,23.849427
全家水上柳子林店站,120.411364,23.430368
中油澳底加油站,121.929041,25.060826
家樂福內壢店站,121.253567,24.971897
臺中市大雅區公所站(多站),120.648217,24.229194
全聯新莊建中店站,121.448167,25.03728
新北市重新橋下機車停車場站,121.485676,25.053659
全聯彰化鹿港店站(多站),120.438271,24.054909
臺中市潮洋臨時停車場站(多站),120.644268,24.178646
普客泰順街第二停車場站(多站),121.531392,25.025003
中油千越東港加油站,120.463994,22.471846
全家永康永明店站,120.262786,23.024407
HiLife 三重重賓店站,121.47053,25.072233
7-ELEVEN 新莊伯店站,121.300245,25.02529
新北市環河公園站(多站),121.451002,25.016546
全聯土庫馬光店站(多站),120.357113,23.704149
中油新庄子加油站,120.983347,24.906904
中油日日春加油站,120.493765,22.768441
新北市介壽公園站(多站),121.463229,25.008661
全聯屏東里港店站,120.498303,22.777675
中油小琉球加油站(多站),120.371936,22.332262
臺中市東區六順多功能活動中心站(多站),120.699655,24.125055
全家研究院店站(多站),121.614998,25.045759
7-ELEVEN 翔發店站(多站),120.486828,22.589078
中油台林加油站,120.456682,23.501014
高雄科學園區管理局站,120.256077,22.830728
台亞林口中山加油站,121.37737,25.083753
Gogoro 台東新生門市站(多站),121.144802,22.75514
聖約翰科技大學站,121.451553,25.225988
新北市永和上林里站(多站),121.52074,25.015314
Gogoro 員林中山門市站,120.568389,23.954694
中油萬丹加油站(多站),120.488713,22.593169
全家羅東北城店站(多站),121.7599,24.677933
中油虎尾加油站,120.446436,23.709054
中油建龍加油站,121.212964,24.888983
中油領航加油站,120.743497,22.024124
臺鐵太原車站(多站),120.699736,24.162687
國立臺灣科技大學站(多站),121.541613,25.011814
PGO 台南南紡店站,120.233988,22.991101
鼎盛十里關新店站(多站),121.01959,24.784924
中油興盛加油站,121.312046,22.987749
中油台糖吉峰加油站,120.716473,24.076835
中油甲南加油站,120.599872,24.309148
中油運河南路加油站,120.295263,22.635276
富山東區高翠路停車場站(多站),120.985239,24.778687
金弘笙新竹竹北店站(多站),121.020501,24.817665
德藝緻台南中西店站(多站),120.187077,23.003429
鳳山區公所站,120.362398,22.627212
中油桂林加油站,120.358425,22.584544
中油仕博加油站,121.223354,25.047212
7-ELEVEN 航福店站,121.293055,25.040261
7-ELEVEN 家和店站,120.576403,23.941078
Gogoro 豐原中山服務中心站,120.715361,24.251841
全家鳥松仁美店站,120.392104,22.65822
台糖中興二加油站,121.119017,22.727476
台灣高鐵嘉義站,120.322607,23.458117
7-ELEVEN 新南王店站,121.113928,22.786586
宏佳騰台北基隆路店站,121.566549,25.044257
臺中市中興嶺停車場站(多站),120.796299,24.204254
HiLife 中縣大甲店站,120.616821,24.349215
中油八德加油站,121.271374,24.933044
全聯鹽埕七賢三店站(多站),120.279752,22.621341
清豐停車場站(多站),120.32729,22.737588
中油育平加油站,120.166575,22.98691
中油中華加油站,120.54614,24.22821
全家台南建平店站,120.181119,22.982904
HiLife 北縣樹俊店站,121.421536,25.014745
中油土牛加油站,120.815766,24.260316
台南市東區德祥街停車場站(多站),120.237151,22.96737
